"X" "Y"
2.9 24.07
3.6 21.47
3.2 21.12
2.8 27.47
5.3 21.59
2.8 23.87
5.4 24.9
6.5 23.26
3.4 20.27
4.9 25.2
1.8 16.94
6.1 25.37
1.5 25.12
9.2 30.61
7 25.27
7.2 27.97
1.2 20.21
3.1 20.53
1.3 17.43
4.1 22.49
2.3 22.14
7.8 27.99
8.5 26.54
4.6 23.43
2.7 19.83
2.7 23.16
9.5 31.97
7.5 27.55
6.9 23.75
1.3 21.88
5 23.07
6.3 23.18
9.9 30.7
2.1 20.62
2.4 20.27
8 29.97
5 22.62
5.8 21.65
1.8 19.44
4.4 19.8
8 26.24
9.9 27.67
4.3 25.28
8.9 24.98
4.3 22.79
9.4 29.09
2.7 21.02
8.7 26.85
9 27.28
7.8 25.27
4.6 23.92
5.5 25.88
8.8 27.67
9.6 28.1
9.6 26.04
8 25.45
7 23.23
6.4 25.86
6.3 26.18
5.4 23.86
9.5 27.41
9.8 28.48
2.9 22.97
8.3 26.8
9.8 28.71
5.2 26.28
2.2 21.8
3.8 21.18
5.7 23.18
9.9 31.81
5.9 20.91
3.8 23.03
9 29.31
8.8 26.44
8.5 26.96
3.6 23.18
1 15.35
2 19.8
2.2 25.98
2 23.69
2.7 24.08
1.2 21.67
6 25.47
3.3 22.37
6.2 27.99
9.7 29.44
4.8 22.28
2.3 16.65
2.2 19.66
3.2 23.87
8.6 29.07
7.2 26.98
3.8 25.2
7.6 24.81
3.7 23.42
5.4 25.24
7.1 25.21
8.7 30.08
8.4 29.45
1.2 21.82
